location,date,new_cases,new_deaths,new_vaccinations,population
Marshall Islands,2022,15385.0,17.0,0.0,13184981.0
Mauritania,2020,14364.0,347.0,0.0,1387690778.0
Mauritania,2021,27109.0,519.0,24659.0,1728693290.0
Mauritania,2022,21970.0,131.0,0.0,1501358282.0
Mauritius,2020,527.0,10.0,0.0,375549142.0
Mauritius,2021,68095.0,776.0,35153.0,474309470.0
Mauritius,2022,199917.0,247.0,0.0,411934526.0
Mexico,2020,1426094.0,123018.0,18174.0,46666507920.0
Mexico,2021,2553629.0,169349.0,121658712.0,46539003800.0
Mexico,2022,3137582.0,31037.0,29025807.0,40418806040.0
Micronesia (country),2021,1.0,0.0,0.0,39391410.0
Micronesia (country),2022,22727.0,58.0,0.0,36194426.0
Moldova,2020,144818.0,2985.0,0.0,978624907.0
Moldova,2021,231337.0,6705.0,1083726.0,1194642445.0
Moldova,2022,218008.0,1626.0,252769.0,1037538781.0
Monaco,2020,887.0,6.0,0.0,11202737.0
Monaco,2021,4110.0,35.0,0.0,13319215.0
Monaco,2022,10172.0,27.0,0.0,11567647.0
Mongolia,2020,1195.0,1.0,0.0,1009316781.0
Mongolia,2021,691426.0,1985.0,4308551.0,1240406145.0
Mongolia,2022,295395.0,145.0,106714.0,1077284241.0
Montenegro,2020,48247.0,682.0,0.0,181853780.0
Montenegro,2021,121787.0,1730.0,573683.0,228884930.0
Montenegro,2022,113286.0,377.0,34899.0,198784994.0
Montserrat,2020,13.0,1.0,0.0,1275357.0
Montserrat,2021,33.0,0.0,0.0,1610745.0
Montserrat,2022,1357.0,8.0,0.0,1398921.0
Morocco,2020,439193.0,7388.0,0.0,12323674104.0
Morocco,2021,523899.0,7461.0,27354182.0,13672161240.0
Morocco,2022,303525.0,1434.0,53287.0,11874178392.0
Mozambique,2020,18642.0,166.0,0.0,9396313200.0
Mozambique,2021,170454.0,1874.0,295812.0,12033874800.0
Mozambique,2022,41395.0,219.0,0.0,10451337840.0
Myanmar,2020,124630.0,2682.0,0.0,15170207360.0
Myanmar,2021,406204.0,16587.0,3800.0,19775448880.0
Myanmar,2022,101845.0,218.0,0.0,17174841904.0
Namibia,2020,23941.0,205.0,0.0,752138032.0
Namibia,2021,124033.0,3429.0,234709.0,936963760.0
Namibia,2022,23214.0,447.0,0.0,813746608.0
Nauru,2021,0.0,0.0,168.0,3401188.0
Nauru,2022,4611.0,1.0,0.0,4023047.0
Nepal,2020,260594.0,1856.0,0.0,10447274412.0
Nepal,2021,567838.0,9738.0,8969188.0,11149868890.0
